WorkerId,summary,HITId
A2HFHW1AT6CYCV,"We randomly assigned 811 overweight adults to one of four diets; the targeted percentages of energy derived from fat, protein, and carbohydrates in the four diets were 20, 15, and 65%; 20, 25, and 55%; 40, 15, and 45%; and 40, 25, and 35%.Participants assigned to each diet had lost an average of 6 kg, which represented 7% of their initial weight; they began to regain weight after 12 months. By 2 years, weight loss remained similar in those who were assigned to a diet with 15% protein and those assigned to a diet with 25% protein.",309D674SHZ6NLN8CVPB7DNTRX7EBCC
A7ET4QBOZ9AEV,"onths, participants assigned to each diet had lost an average of 6 kg, which represented 7% of their initial weight; they began to regain weight after 12 months. By 2 years, weight loss remained similar in those who were assigned to a diet with 15% protein and those assigned to a diet with 25% protein (3.0 and 3.6 kg, respectively); in those assigned to a diet with 20% fat and those assigned to a diet with 40% fat (3.3 kg for both groups); and in those assigned to a diet with 65% carbohydrates and those assigned to a diet with 35% carbohydrates (2.9 and 3.4 kg, respectively) (P) 0.20 for all comparisons).We randomly assigned 811 overweight adults to one of four diets; the targeted percentages of energy derived from fat, protein, and carbohydrates in the four diets were 20, 15, and 65%; 20, 25, and 55%; 40, 15, and 45%; and 40, 25, and 35%. The diets consisted of similar foods and met guidelines for cardiovascular health. The participants were offered group and individual instructional sessions for 2 years. ",309D674SHZ6NLN8CVPB7DNTRX7EBCC
AG6AHUZK4KU3,"In this two-year study of 811 overweight adults, diets with low to moderate fat (20 to 40%), high to moderate protein (15 to 25%), and low to high carbohydrates (35 to 65%) all resulted in similar average weight loss of 3-4 kg after two years. Participants attending more sessions had a greater average weight loss, although their diets also improved their metabolic health indiicators. In conclusion, the composition of fat, protein, and carbs in a diet did not seem to strongly influence weight loss.",309D674SHZ6NLN8CVPB7DNTRX7EBCC
A2NZK4Z73D4FQB,"The Norwegian breast-cancer screening program was started in 1996.  Women between the ages 50 and 69 years were offered screening mammography every 2 years. we compared the incidence-based rates of death from breast cancer in four groups: two groups of women who from 1996 through 2005 living in counties with screening or without screening and two historical-comparison groups that from 1986 through 1995.
We analyzed data from 40,075 women with breast cancer. The rate of death was reduced by 7.2 deaths per 100,00 person-years in the screening group compared with historical screening group and by 4.8 deaths per 100,000 person-years in non screening group as compared with historical non screening group.
The availability of screening mammography was associated with a reduction in the rate of death from breast cancer.",3XABXM4AJ1Q8DQKOXVSS6QS7TGU8QF
A2TJ8LWLUO31Q,"This study examined the effect of screening mammography on mortality from breast cancer in Norway. 40,075 women with breast cancer were analysed. It was found that the rate of death was reduced by 7.2 deaths per 100,000 person-years in the screening group, and 4.8 deaths per 100,000 person-years in the nonscreening group, compared to their historical counterparts. This suggests that the mortality rate was improved in both screening and nonscreening groups, either due to awareness and treatment advances, or because of the availability of screening. However, the screening itself was estimated to account for only one-third of the total reduction.",3XABXM4AJ1Q8DQKOXVSS6QS7TGU8QF
A3A31C77CXQ7U9,"The effect of screening mammography on breast cancer mortality was investigated in a Norwegian research. The difficult part of these investigations is creating reliable comparison groups. Two groups of women who had access to screening mammography and two historical reference groups were used by the researchers to compare the death rates from breast cancer in this case. The examination of the data comprised 40,075 breast cancer survivors. According to the findings, the screening group's mortality rate was lower than the historical screening group's by 7.2 deaths per 100,000 person-years. Similar to the historical nonscreening group, the nonscreening group's death rate was decreased by 4.8 deaths per 100,000 person-years. But the study discovered that only approximately a third was attributable to the screening itself.",3XABXM4AJ1Q8DQKOXVSS6QS7TGU8QF
A3NMWNY6DTELXW," Vaccine efficacy against severe malaria in the combined age categories was 34.8% (95% CI, 16.2 to 49.2) in the per-protocol population during an average follow-up of 11 months. Serious adverse events occurred with a similar frequency in the two study groups. Among children in the older age category, the rate of generalized convulsive seizures after RTS,",3BFF0DJK8XX3OQRPSXSSSM3VPHZTSD
A3VDG4N48AVYGQ,"The first results of a phase 3 trial for the RTS,S/AS01 malaria vaccine in African children have been reported. The study enrolled 15,460 children in two age groups, 6 to 12 weeks and 5 to 17 months, and compared the efficacy, safety, and immunogenicity of the vaccine to a non-malaria comparator vaccine. The analysis focused on the first 6,000 children in the older age group who received all three doses of the vaccine. The results showed that the RTS,S/AS01 vaccine had an efficacy of 50.4% against clinical malaria and 45.1% against severe malaria in the intention-to-treat population. In the per-protocol population, the efficacy was even higher at 55.8% against clinical malaria and 47.3% against severe malaria. The vaccine also had a similar safety profile to the control group, with no significant differences in adverse events. Overall, the study demonstrates that the RTS,S/AS01 vaccine provides protection against both clinical and severe malaria in African children.",3BFF0DJK8XX3OQRPSXSSSM3VPHZTSD
A96HZQTUTFWL6,"
In the 14 months after the first dose of vaccine, the incidence of first episodes of clinical malaria in the first 6000 children in the older age category was 0.32 episodes per person-year in the RTS, S/AS01 group and 0.55 episodes per person-year in the control group, for an efficacy of 50.4% (95% confidence interval (CI), 45.8 to 54.6) in the intention-to-treat population and 55.8% (97.5% CI, 50.6 to 60.4) in the per-protocol population. Vaccine efficacy against severe malaria was 45.1% (95% CI, 23.8 to 60.5) in the intention-to-treat population and 47.3% (95% CI, 22.4 to 64.2) in the per-protocol population. Vaccine efficacy against severe malaria in the combined age categories was 34.8% (95% CI, 16.2 to 49.2) in the per-",3BFF0DJK8XX3OQRPSXSSSM3VPHZTSD
A1BOLZ1ZMZGUJ9,"In this study, a Tennessee Medicaid cohort was used to assess the risk of cardiovascular death related to azithromycin and other antibiotics such as amoxicillin, ciprofloxacin, and levofloxacin, excluding patients with serious non-cardiovascular illness and person-time during and shortly after hospitalization. Results showed that during 5 days of azithromycin therapy, there was an increased risk of cardiovascular death (2.88 times) and death from any cause (1.85 times) compared to those who took no antibiotics. Amoxicillin had no increase in the risk of death during this period. Relative to amoxicillin, azithromycin was associated with an estimated 47 additional cardiovascular deaths per 1 million courses, with a much higher number of 245 additional cardiovascular deaths per 1 million courses among patients in the highest decile of risk for cardiovascular disease. The risk of cardiovascular death was higher with azithromycin than with ciprofloxacin but did not differ significantly from that with levofloxacin. These findings suggest that azithromycin should be used with caution, especially in patients with high risk of cardiovascular disease.",3CESM1J3EIOQT9XMGPU0E1E2BMKW6K
A1QGLOAOOG3JAD,"During 5 days of therapy, patients taking azithromycin, as compared with those who took no antibiotics, had an increased risk of cardiovascular death (hazard ratio, 2.88; 95% confidence interval (CI), 1.79 to 4.63; P (0.001) and death from any cause (hazard ratio, 1.85; 95% CI, 1.25 to 2.75; P = 0.002). Although several macrolide antibiotics are proarrhythmic and associated with an increased risk of sudden cardiac death, azithromycin is thought to have minimal cardiotoxicity. However, published reports of arrhythmias suggest that azithromycin may increase the risk of cardiovascular death. Patients who took amoxicillin had no increase in the risk of death during this period. Relative to amoxicillin, azithromycin was associated with an increased risk of cardiovascular death (hazard ratio, 2.49; 95% CI, 1.38 to 4.50; P = 0.002) and death from any cause (hazard ratio, 2.02; 95% CI, 1.24 to 3.30; P = 0.005), with an estimated 47 additional cardiovascular deaths per 1 million courses; patients in the highest decile of risk for cardiovascular disease had an estimated 245 additional cardiovascular deaths per 1 million courses. The risk of cardiovascular death was significantly greater with azithromycin than with ciprofloxacin but did not differ significantly from that with levofloxacin.
",3CESM1J3EIOQT9XMGPU0E1E2BMKW6K
A3HFDEQSN5QZ67,"In a study of a Tennessee Medicaid cohort, it was found that patients taking azithromycin were at an increased risk of cardiovascular death and death from any cause within 5 days of starting the medication. This risk was 2.88 and 1.85 times higher respectively, when compared with patients who took no antibiotics. Furthermore, the risk of cardiovascular death was significantly higher with azithromycin than with ciprofloxacin, with an estimated 47 additional cardiovascular deaths per million courses. This risk was particularly pronounced among those with the highest baseline risk of cardiovascular disease (estimated 245 additional cardiovascular deaths per million courses). As a result, the study suggests that caution should be taken when prescribing azithromycin, especially for those with an existing cardiovascular risk.",3CESM1J3EIOQT9XMGPU0E1E2BMKW6K
A24V1CERFOOPKM,"The mean duration of treatment was 3.4 years. The mean weight loss during the lead-in period was 2.6 kg; after randomization, the subjects in the sibutramine group achieved and maintained further weight reduction (mean, 1.7 kg). The mean blood pressure decreased in both groups, with greater reductions in the placebo group than in the sibutramine group (mean difference, 1.2 / 1.4 mm Hg). The risk of a primary outcome event was 11.4% in the sibutramine group as compared with 10.0% in the placebo group (hazard ratio, 1.16; 95% confidence interval (CI), 1.03 to 1.31; P = 0.02).  The primary end point was the time from randomization to the first occurrence of a primary outcome event",3BA7SXOG1JB8PRZOAAHSBG2CP2W8RG
A96HZQTUTFWL6,"The mean duration of treatment was 3.4 years. The mean weight loss during the lead-in period was 2.6 kg; after randomization, the subjects in the sibutramine group achieved and maintained further weight reduction (mean, 1.7 kg). The mean blood pressure decreased in both groups, with greater reductions in the placebo group than in the sibutramine group (mean difference, 1.2 / 1.4 mm Hg). The risk of a primary outcome event was 11.4% in the sibutramine group as compared with 10.0% in the placebo group (hazard ratio, 1.16; 95% confidence interval (CI), 1.03 to 1.31; P = 0.02).",3BA7SXOG1JB8PRZOAAHSBG2CP2W8RG
ALXIA5WJ916PJ,"The mean duration of treatment was 3.4 years. The mean weight loss during the lead-in period was 2.6 kg; after randomization, the subjects in the sibutramine group achieved and maintained further weight reduction (mean, 1.7 kg). The mean blood pressure decreased in both groups, with greater reductions in the placebo group than in the sibutramine group (mean difference, 1.2 / 1.4 mm Hg). The risk of a primary outcome event was 11.4% in the sibutramine group as compared with 10.0% in the placebo group (hazard ratio, 1.16; 95% confidence interval (CI), 1.03 to 1.31; P = 0.02).",3BA7SXOG1JB8PRZOAAHSBG2CP2W8RG
A3BANDHA61VIEK,"In a randomized, placebo-controlled, double-blind study of exemestane, 4560 postmenopausal women between the age of 35 and above considered to be at a moderately increased risk for breast cancer were given the drug or a placebo. After a median follow-up period of 3 years, exemestane was found to reduce the incidence of invasive breast cancer by 65% compared to the placebo group. Furthermore, the relative risk of both invasive and non-invasive breast cancer was significantly reduced. Despite a slight increase in adverse events, there were no significant differences in terms of skeletal fractures, cardiovascular events, other cancers or treatment-related deaths between the two groups. The use of exemestane appeared to be safe and had no major effect on health-related quality of life.",3H5TOKO3D94EK7E26JOHJ9VBRTM649
A3CEY3IDFWQNHW,"The benefits of medicines are the helpful effects you get when you use them, such as lowering blood pressure, curing infection, or relieving pain. The risks of medicines are the chances that something 
But let us now turn to the names of our profession and, of those who practice it. The word medicine comes to us from the Latin medicina, the verb root of which is mederi, to heal, a thoroughly respectable derivationunwanted or unexpected could happen to you when you use them.",3H5TOKO3D94EK7E26JOHJ9VBRTM649
AUQ3XC7O2CU5U,"In this randomized, controlled trial of exemestane for reducing the risk of invasive breast cancer in 4560 postmenopausal women, exemestane was associated with a 65% reduction in invasive breast cancer incidence in comparison to placebo after a median follow-up of 35 months. Adverse events occurred in 88% of the exemestane group and 85% of the placebo group, with no significant differences in terms of skeletal fractures, cardiovascular events, other cancers, or treatment-related deaths. Further, the trial revealed minimal changes in health-related quality of life, indicating that exemestane may be an effective, well-tolerated primary-prevention option for postmenopausal women at moderately increased risk for breast cancer.",3H5TOKO3D94EK7E26JOHJ9VBRTM649
A1E626ZC3KSJQG,"The introduction of screening mammography in the United States has been associated with a doubling in the number of cases of early-stage breast cancer that are detected each year, from 112 to 234 cases per 100,000 women - an absolute increase of 122 cases per 100,000 women. Concomitantly, the rate at which women present with late-stage cancer has decreased by 8%, from 102 to 94 cases per 100,000 women - an absolute decrease of 8 cases per 100,000 women. With the assumption of a constant underlying disease burden, only 8 of the 122 additional early-stage cancers diagnosed were expected to progress to advanced disease. After excluding the transient excess incidence associated with hormone-replacement therapy and adjusting for trends in the incidence of breast cancer among women younger than 40 years of age, we estimated that breast cancer was overdiagnosed (i.e., tumors were detected on screening that would never have led to clinical symptoms) in 1.3 million U.S. women in the past 30 years. We estimated that in 2008, breast cancer was overdiagnosed in more than 70,000 women; this accounted for 31% of all breast cancers diagnosed. have been affected, the imbalance suggests that there is substantial overdiagnosis, accounting for nearly a third of all newly diagnosed breast cancers, and that screening is having, at best, only a small effect on the rate of death from breast cancer.",3PUV2Q8SV4PXQFEQVL6IXTB9I7QBDC
A1REDXGZEGN7NO,"The inverse association between coffee consumption and mortality was consistent regardless of cumulative caffeine intake up to 2.5 g/d. Further associated factors such as reported diet, BMI, physical activity, smoking, were controlled for in the analysis. The National Institutes of Health-AARP Diet and Health Study collected detailed dietary and other lifestyle information from over 500,000 participants. This study adds to the evidence that coffee consumption might have beneficial health effects.",3PUV2Q8SV4PXQFEQVL6IXTB9I7QBDC
A3PP9FZ8R6RTQY,"Screening mammography has been used in the United States since 1976 to detect breast cancer at an early, more curable stage. Data from Surveillance, Epidemiology, and End Results showed that its introduction has resulted in an absolute increase of 122 cases per 100,000 women in the incidence detected of early-stage breast cancer, and a concomitant absolute decrease of 8 cases per 100,000 women in the rate of late-stage breast cancer. However, after accounting for the transient excess due to hormone-replacement therapy, it was estimated that 1.3 million U.S. women have been overdiagnosed in the last 30 years, amounting to 31% of all breast cancers diagnosed in 2008 alone. Thus, while screening mammography has increased the number of early-stage cancer cases, its effect on reducing the rate of death from breast cancer has been minimal at best.",3PUV2Q8SV4PXQFEQVL6IXTB9I7QBDC
A1U53T09MJ26VT,Primary prevention refers to the steps taken by an individual to prevent the onset of the disease. This is achieved by maintaining a healthy lifestyle choice such as diet and exercise. Secondary prevention focuses on reducing the impact of the disease by early diagnosis prior to any critical and permanent damage. ,3KTCJ4SCVGMZHB2B6HCWA7LU59R1M1
A2QYXVJ6EKJBE6,it was a diet plan for a good health and a trial form spain there is a cadiovasular disease at entrollment so that they maintain a diet plan reduce dietary fat it mixed a olive oil and mixed nuts so that it was a good health for a day of life ,3KTCJ4SCVGMZHB2B6HCWA7LU59R1M1
