WorkerId,summary,HITId
A52YQUVAFFV0,"In a multicenter trial in Spain, we randomly assigned participants who were at high cardiovascular risk, but with no cardiovascular disease at enrollment, to one of three diets; a Mediterranean diet supplemented with extra-virgin olive oil, a Mediterranean diet supplemented with mixed nuts, or a control diet (advice to reduce dietary fat). Participants received quarterly individual and group educational sessions and, depending on group assignment, free provision of extra-virgin olive oil, mixed nuts, or small nonfood gifts. The primary end point was the rate of major cardiovascular events (myocardial infarction, stroke, or death from cardiovascular causes). On the basis of the results of an interim analysis, the trial was stopped after a median follow-up of 4.8 years.A total of 7447 persons were enrolled (age range, 55 to 80 years); 57% were women. The two Mediterranean-diet groups had good adherence to the intervention, according to self-reported intake and biomarker analyses. A primary end-point event occurred in 288 participants. The multivariable-adjusted hazard ratios were 0.70 (95% confidence interval (CI), 0.54 to 0.92) and 0.72 (95% CI, 0.54 to 0.96) for the group assigned to a Mediterranean diet with extra-virgin olive oil (96 events) and the group assigned to a Mediterranean diet with nuts (83 events), respectively, versus the control group (109 events). No diet-related adverse effects were reported.Primary Prevention of Cardiovascular Disease with a Mediterranean Diet

Observational cohort studies and a secondary prevention trial have shown an inverse association between adherence to the Mediterranean diet and cardiovascular risk. We conducted a randomized trial of this diet pattern for the primary prevention of cardiovascular events. Among persons at high cardiovascular risk, a Mediterranean diet supplemented with extra-virgin olive oil or nuts reduced the incidence of major cardiovascular events.",3KTCJ4SCVGMZHB2B6HCWA7LU59R1M1
A3EZKLIXGN8STM,good,3UY4PIS8QR65ZTNBIIRWNMAUAZ11N1
A5TE425T8LS4V,"In USA children under the age of 7 will get 5 doses of diphtheria, tetanus, and acellular pertussis (DTaP) vaccine.The duration of protection of DTaP is unknown.The risk of pertussis in california the time since 2006 to 2011. We conducted a case study who all vaccinated with DTaP at 47 to 84 months of age and compared children with pertussis confirmed by a positive polymerase-chain-reaction (PCR) . We used logistic regression to examine the risk of pertussis in relation to the duration of time since the fifth DTaP dose",3UY4PIS8QR65ZTNBIIRWNMAUAZ11N1
AJDEGGU3FW71C,This is an emergency announcement of the children vaccine. Which is to take at the age between 4 to 6.Which is very important for the child growth in that stage.,3UY4PIS8QR65ZTNBIIRWNMAUAZ11N1
A1S05Q05GCT274,"We performed prospective investigations involving three separate cohorts that included 120,877 U.S. women and men who were free of chronic diseases and not obese at baseline, with follow-up periods from 1986 to 2006, 1991 to 2003, and 1986 to 2006. The relationships between changes in lifestyle factors and weight change were evaluated at 4-year intervals, with multivariable adjustments made for age, baseline body-mass index for each period, and all lifestyle factors simultaneously. Cohort-specific and sex-specific results were similar and were pooled with the use of an inverse-variance–weighted meta-analysis.",3MZ3TAMYTL81EXB1JWTJO5WQSY0RI6
A32YOD79DL837P,"Diet and lifestyle factors contribute to development of obesity and overweight. Some of the most common ones are:

eating large amounts of processed or fast food – this is food that's high in fat and sugar
drinking too much alcohol – alcohol contains a lot of calories
eating out a lot – food cooked in a restaurant may be higher in fat and sugar
eating larger portions than you need
drinking too many sugary drinks – including soft drinks and fruit juice
comfort eating – some people may comfort eat due to many other factors affecting their life such as low self-esteem or low mood
Changes in society have also made it more difficult to have a healthy diet. High calorie food has become cheaper and more convenient, and is heavily advertised and promoted.",3MZ3TAMYTL81EXB1JWTJO5WQSY0RI6
AOMYFDVVIRWN2,"This study examined the relationship between diet and lifestyle factors and long-term weight gain in three separate cohorts of 120,877 U.S. women and men. It was found that dietary components such as potato chips, potatoes, sugar-sweetened beverages, unprocessed red meats, and processed meats influenced weight changes during four-year intervals, while increases in daily servings of vegetables, whole grains, fruits, nuts, and yogurt had the opposite effect. Other lifestyle factors including physical activity, alcohol use, smoking, sleep, and television watching were also linked to weight change. It was concluded that specific dietary and different lifestyle factors can have a substantial effect on preventing obesity.",3MZ3TAMYTL81EXB1JWTJO5WQSY0RI6
A168711MCNT6BO,"We conducted a retrospective cohort study of all children born in Denmark from January 1991 through December 1998. The cohort was selected on the basis of data from the Danish Civil Registration System, which assigns a unique identification number to every live-born infant and new resident in Denmark. MMR-vaccination status was obtained from the Danish National Board of Health.Of the 537,303 children in the cohort (representing 2,129,864 person-years), 440,655 (82.0 percent) had received the MMR vaccine. We identified 316 children with a diagnosis of autistic disorder and 422 with a diagnosis of other autistic-spectrum disorders.",3B623HUYJ4BKQ6Z1PZHX1Q78B4F8S4
A3K2HJRIWXLEMI," recommends that people get vaccine to protect measles, mumps,and rubella. children should get two doeses of mmr vaccine, starting with the first does as 12 to 15 months of age, and the second does at 4 through 6 years of age. teens and adults should also be up of age. two mmr vaccines are available for use in the united states,m-m-r 11",3B623HUYJ4BKQ6Z1PZHX1Q78B4F8S4
A3RTHA7MUNT5Z6,"It has been suggested that vaccination against measles, mumps, and rubella (MMR) is a cause of autism. A retrospective cohort study of all children born in Denmark from January 1991 through December 1998 was conducted. MMR-vaccination status was obtained from the Danish National Board of Health. Information on the children's autism status was obtained from the Danish Psychiatric Central Register, which contains information on all diagnoses received by patients in psychiatric hospitals and outpatient clinics in Denmark. Of the 537,303 children in the cohort (representing 2,129,864 person-years), 440,655 (82.0%) had received the MMR vaccine. 316 children with a diagnosis of autistic disorder and 422 with a diagnosis of other autistic-spectrum disorders were identified. After adjustment for potential confounders, the relative risk of autistic disorder in the group of vaccinated children, as compared with the unvaccinated group, was 0.92 and the relative risk of another autistic-spectrum disorder was 0.83. There was no association between the age at the time of vaccination, the time since vaccination, or the date of vaccination and the development of autistic disorder. ",3B623HUYJ4BKQ6Z1PZHX1Q78B4F8S4
A16IR02GA0C1HL,"This trial evaluated the immunogenicity and safety of an inactivated, split-virus 2009 H1N1 vaccine administered in two doses to healthy adults between the ages of 18 and 64 years. Both a 15 μg and 30 μg dose were administered intramuscularly, 21 days apart. The coprimary immunogenicity end points included the proportion of subjects with antibody titers of 1:40 or more on hemagglutination-inhibition assay, the proportion of subjects with either seroconversion or a significant increase in antibody titer, and the factor increase in the geometric mean titer. Results showed the vaccine to be highly immunogenic and mild-to-moderate vaccine-related reactions were observed. No deaths or serious adverse events were reported. Local injection-site discomfort and systemic symptoms such as headache were reported by a majority of participants. These results demonstrate the safety and potential effectiveness of the vaccine to mitigate 2009 H1N1 virus spread.",371DNNCG44NL56CGEZMNBV3UDNT8TT
A1PRUVH5Q0T9FS,"A novel 2009 influenza A (H1N1) virus is responsible for the first influenza pandemic in 41 years.We evaluated the immunogenicity and safety of the vaccine after each of two scheduled doses, administered 21 days apart. A total of 240 subjects, equally divided into two age groups ((50 years and ≥ 50 years), were enrolled and underwent randomization to receive either 15 μg or 30 μg of hemagglutinin antigen by intramuscular injection. We measured antibody titers using hemagglutination-inhibition and microneutralization assays at baseline and 21 days after vaccination A single 15-μg dose of 2009 H1N1 vaccine was immunogenic in adults, with mild-to-moderate vaccine-associated reactions. ",371DNNCG44NL56CGEZMNBV3UDNT8TT
A96HZQTUTFWL6,"We evaluated the immunogenicity and safety of the vaccine after each of two scheduled doses, administered 21 days apart. A total of 240 subjects, equally divided into two age groups ((50 years and ≥ 50 years), were enrolled and underwent randomization to receive either 15 μg or 30 μg of hemagglutinin antigen by intramuscular injection.",371DNNCG44NL56CGEZMNBV3UDNT8TT
A19GPBWE8CBCOL,"The inverse association between coffee consumption and mortality was consistent regardless of cumulative caffeine intake up to 2.5 g/d. Further associated factors such as reported diet, BMI, physical activity, smoking, were controlled for in the analysis. The National Institutes of Health-AARP Diet and Health Study collected detailed dietary and other lifestyle information from over 500,000 participants. This study adds to the evidence that coffee consumption might have beneficial health effects.",3MD8CKRQZZ8X98V71EEJ06BQ5DPRJI
A33VMOGN3BQLEH,"Women in the National Institutes of Health - AARP Diet and Health Study who were 50 to 71 years of age at baseline. Participants with cancer, heart disease, and stroke were excluded. Coffee consumption was assessed once at baseline. However, coffee drinkers were also more likely to smoke, and, after adjustment for tobacco-smoking status and other potential confounders, there was a significant inverse association between coffee consumption and mortality. Adjusted hazard ratios for death among men who drank coffee. In this large prospective study, coffee consumption was inversely associated with total and cause-specific mortality. Whether this was a causal or associational finding can not be determined from our data.",3MD8CKRQZZ8X98V71EEJ06BQ5DPRJI
AQ5NUM4F6WK1W,"Coffee is one of the most widely consumed beverages, but the association between coffee consumption and the risk of death remains unclear. However, coffee drinkers were also more likely to smoke, and, after adjustment for tobacco-smoking status and other potential confounders, there was a significant inverse association between coffee consumption and mortality. Inverse associations were observed for deaths due to heart disease, respiratory disease, stroke, injuries and accidents, diabetes, and infections, but not for deaths due to cancer. Results were similar in subgroups, including persons who had never smoked and persons who reported very good to excellent health at baseline. In this large prospective study, coffee consumption was inversely associated with total and cause-specific mortality. Whether this was a causal or associational finding can not be determined from our data.",3MD8CKRQZZ8X98V71EEJ06BQ5DPRJI
A1U53T09MJ26VT,"We conducted searches of the published literature, the Web site of the Food and Drug Administration, and a clinical-trials registry maintained by the drug manufacturer (GlaxoSmithKline). Criteria for inclusion in our meta-analysis included a study duration of more than 24 weeks, the use of a randomized control group not receiving rosiglitazone, and the availability of outcome data for myocardial infarction and death from cardiovascular causes. Of 116 potentially relevant studies, 42 trials met the inclusion criteria. We tabulated all occurrences of myocardial infarction and death from cardiovascular causes.",37AQKJ12TX943Q44HXXI2RZHR0DTT2
A2JCFYRKX5IZFL,"Our analysis suggests that the use of rosiglitazone to treat type 2 diabetes mellitus is associated with an increased risk of myocardial infarction and death from cardiovascular causes. This analysis included 42 randomized studies with over 40,000 total subjects aged 56 on average, and with an average baseline glycated hemoglobin level of 8.2%. The odds ratio for myocardial infarction was 1.43 (95% confidence interval (CI), 1.03 to 1.98; P = 0.03) and for death from cardiovascular causes was 1.64 (95% CI, 0.98 to 2.74; P = 0.06). Despite the limitations of relying on the available literature, these results indicate a potential for serious adverse cardiovascular effects and should be considered before rosiglitazone is prescribed.",37AQKJ12TX943Q44HXXI2RZHR0DTT2
ACO8KWN80TC3P,"Rosiglitazone, a widely used treatment for type 2 diabetes, has been found to be associated with an increased risk of myocardial infarction and cardiovascular death in an analysis of data from 42 randomized control trials. The odds ratio for myocardial infarction was 1.43 (95% CI, 1.03 to 1.98) and for death from cardiovascular causes was 1.64 (95% CI, 0.98 to 2.74). Time-to-event analysis could not be completed due to a lack of access to original source data. These findings suggest potential serious adverse cardiovascular effects from rosiglitazone and should be taken into account when prescribing it for treatment of type 2 diabetes.",37AQKJ12TX943Q44HXXI2RZHR0DTT2
A1WYKGQX8SSNMI,"68 months, disease-free survival at 5 years was 91.1% in the exemestane - ovarian suppression group and 87.3% in the tamoxifen - ovarian suppression group (hazard ratio for disease recurrence, second invasive cancer, or death, 0.72; 95% confidence interval (CI), 0.60 to 0.85; P (0.001). The rate of freedom from breast cancer at 5 years was 92.8% in the exemestane - ovarian suppression group, as compared with 88.8% in the tamoxifen - ovarian suppression group (hazard ratio for recurrence, 0.66; 95% CI, 0.55 to 0.80; P (0.001). With 194 deaths (4.1% of the patients), overall survival did not differ significantly between the two groups (hazard ratio for death in the exemestane - ovarian suppression group, 1.14; 95% CI, 0.86 to 1.51; P = 0.37). Selected adverse events of grade 3 or 4 were reported for 30.6% of the patients in the exemestane - ovarian suppression group and 29.4% of those in the tamoxifen - ovarian suppression group, with profiles similar to those for postmenopausal women",3ZQA3IO31BCNHENNJXR92BAZ0961OG
A2NS7MTJARW94U,"r a median follow-up of 68 months, disease-free survival at 5 years was 91.1% in the exemestane - ovarian suppression group and 87.3% in the tamoxifen - ovarian suppression group (hazard ratio for disease recurrence, second invasive cancer, or death, 0.72; 95% confidence interval (CI), 0.60 to 0.85; P (0.001). The rate of freedom from breast cancer at 5 years was 92.8% in the exemestane - ovarian suppression group, as compared with 88.8% in the tamoxifen - ovarian suppression group (hazard ratio for recurrence, 0.66; 95% CI, 0.55 to 0.80; P (0.001). With 194 deaths (4.1% of the patients). In premenopausal women with hormone-receptor - positive early breast cancer, adjuvant treatment with exemestane plus ovarian suppression, as compared with tamoxifen plus ovarian suppression, significantly reduced recurrence.In two phase 3 trials, we randomly assigned premenopausal women with hormone-receptor - positive early breast cancer to the aromatase inhibitor exemestane plus ovarian suppression or tamoxifen plus ovarian suppression for a period of 5 years. Suppression of ovarian estrogen production was achieved with the use of the gonadotropin-releasing-hormone agonist triptorelin, oophorectomy, or ovarian irradiation. The primary analysis combined data from 4690 patients in the two trials.",3ZQA3IO31BCNHENNJXR92BAZ0961OG
A2STM13VZOGVOR,"In this study, premenopausal women with hormone-receptor positive early breast cancer were randomly assigned to an adjuvant treatment of either exemestane plus ovarian suppression or tamoxifen plus ovarian suppression for five years. After a median follow-up 68 months, the disease-free survival rate at 5 years was 91.1% in the exemestane-ovarian suppression group, compared to 87.3% in the tamoxifen-ovarian suppression group. The rate of freedom from breast cancer at five years was 92.8% in the exemestane-ovarian suppression group compared to 88.8% in the tamoxifen-ovarian suppression group. Adverse events were mild and comparable between the two groups. In conclusion, these results indicate that exemestane plus ovarian suppression treatments significantly reduce recurrence rates of breast cancer among premenopausal patients, compared to tamoxifen and ovarian suppression treatments.",3ZQA3IO31BCNHENNJXR92BAZ0961OG
A1F3HF70PF8G97,"Global Sodium Consumption and Death from Cardiovascular Causes blood pressure, a risk factor for cardiovascular disease, The data collected 66 countries and new meta-analysis of 107 randomized interventions,he effects of blood pressure on cardiovascular mortality, Cause-specific mortality was derived from the Global Burden of Disease. In 2010, the estimated mean level of global sodium consumption was 3.95 g per day, and regional mean levels ranged from 2.18 to 5.51 g per day. Globally, 1.65 million annual deaths from cardiovascular causes (95% uncertainty interval (confidence interval), 1.10 million to 2.22 million) were attributed to sodium intake above the reference level; 61.9% of these deaths occurred in men and 38.1% occurred in women.",32CXT5U14GO05JR5E4CXGRPWW108UK
A288UY7L4MKJSB,"In this modeling study, 1.65 million deaths from cardiovascular causes that occurred in 2010 were attributed to sodium consumption above a reference level of 2.0 g per day. High sodium intake increases blood pressure, a risk factor for cardiovascular disease, but the effects of sodium intake on global cardiovascular mortality are uncertain. In 2010, the estimated mean level of global sodium consumption was 3.95 g per day, and regional mean levels ranged from 2.18 to 5.51 g per day. Globally, 1.65 million annual deaths from cardiovascular causes (95% uncertainty interval (confidence interval), 1.10 million to 2.22 million) were attributed to sodium intake above the reference level; 61.9% of these deaths occurred in men and 38.1% occurred in women. These deaths accounted for nearly 1 of every 10 deaths from cardiovascular causes (9.5%). Four of every 5 deaths (84.3%) occurred in low - and middle-income countries, and 2 of every 5 deaths (40.4%) were premature (before 70 years of age). The rate of death from cardiovascular causes associated with sodium intake above the reference level was highest in the country of Georgia and lowest in Kenya. The persons are taking more bad form her health. nowadays the peoples making her health lowly. the persons are trying to take care of her life and health that the most important of basic persons life. We collected data from surveys on sodium intake as determined by urinary excretion and diet in persons from 66 countries (accounting for 74.1% of adults throughout the world), and we used these data to quantify the global consumption of sodium according to age, sex, and country. The effects of sodium on blood pressure, according to age, race, and the presence or absence of hypertension, were calculated from data in a new meta-analysis of 107 randomized interventions, and the effects of blood pressure on cardiovascular mortality, according to age, were calculated from a meta-analysis of cohorts. Cause-specific mortality was derived from the Global Burden of Disease Study 2010. Using comparative risk assessment, we estimated the cardiovascular effects of current sodium intake, as compared with a reference intake of 2.0 g of sodium per day, according to age, sex, and country.",32CXT5U14GO05JR5E4CXGRPWW108UK
A7ET4QBOZ9AEV,"We collected data from surveys on sodium intake as determined by urinary excretion and diet in persons from 66 countries (accounting for 74.1% of adults throughout the world), and we used these data to quantify the global consumption of sodium according to age, sex, and country. The effects of sodium on blood pressure, according to age, race, and the presence or absence of hypertension, were calculated from data in a new meta-analysis of 107 randomized interventions, and the effects of blood pressure on cardiovascular mortality, according to age, were calculated from a meta-analysis of cohorts. Cause-specific mortality was derived from the Global Burden of Disease Study 2010. Using comparative risk assessment, we estimated the cardiovascular effects of current sodium intake, as compared with a reference intake of 2.0 g of sodium per day, according to age, sex, and country. We collected data from surveys on sodium intake as determined by urinary excretion and diet in persons from 66 countries (accounting for 74.1% of adults throughout the world), and we used these data to quantify the global consumption of sodium according to age, sex, and country.",32CXT5U14GO05JR5E4CXGRPWW108UK
